Section Intent,Keywords,Layout Pattern,Use When,Avoid When,Copy Inputs,Visual Assets,Interaction Notes,Accessibility Checks
Plan Comparison,"comparison compare alternatives plan feature matrix","Compact matrix that exposes real tradeoffs","Plan or product alternatives need evaluation","Every row has the same value across plans","Capabilities; limits; best-fit user","Matrix or comparison cards","Use sticky headers only if they do not obscure content","Screen reader can map row/column labels; no tiny unreadable text"
FAQ,"faq questions objections accordion help support","Accordion or grouped Q&A by decision stage","Common objections can block conversion","FAQ hides critical price/security terms","Questions; answers; owner/source","None required; optional support icon","Accordions should be keyboard-operable","Expanded state announced; content remains indexable when needed"
Comparison,"comparison competitors alternatives before after feature value","Side-by-side cards or before/after sequence","Users compare approaches or need category education","Competitors are attacked without evidence","Alternative; tradeoff; evidence; decision rule","Before/after screenshots, comparison matrix","Keep language factual and sourced","No false competitor claims; mobile stacks preserve labels"
App Preview,"app preview screenshot product demo interface mobile desktop state","Device/browser frame or unframed product screenshot with callouts","The product state is more persuasive than abstract claims","The visual is stock-like or too cropped to inspect","Screen state; callout labels; key action","Screenshots, demo video, interactive preview","Use static fallback for video/animation","Alt text explains state; callouts readable on mobile"
Content Hub,"content hub resources blog guides articles cards filters","Searchable or filterable resource grid with topic clusters","SEO/resource pages need depth and findability","Everything is one chronological list","Topic clusters; featured guides; article metadata","Article cards, author photos if real","Filters should have empty states and deep links","Cards have descriptive titles; dates/authors accurate"
Quickstart,"quickstart install setup docs developer getting started","Step-by-step install path with copyable code","Developer needs fastest path to first success","Marketing copy delays setup","Prerequisites; commands; expected output; troubleshooting","Code snippets, terminal output, architecture diagram","Copy buttons optional but useful","Code wraps safely; language labels present; prerequisites visible"
Navigation Index,"nav index sidebar docs table of contents links","Sidebar or in-page index organized by task","Long docs/resources need scan and return paths","Navigation mirrors internal org instead of user tasks","Sections; task groups; active state","None required","Sticky nav only when viewport supports it","Current page exposed; keyboard skip path exists"
CTA Band,"cta final conversion band next step closing action","Full-width closing band with one primary action and one confidence note","Page needs a clear final next step","Multiple competing CTAs dilute action","Primary action; supporting note; risk reducer","Optional product image or icon","Repeat primary CTA after proof, not before every block","CTA label is specific; focus and contrast pass"
Mission Proof,"mission values company about credibility principles","Narrative plus proof cards tying mission to behavior","About page needs substance beyond slogans","Values are generic and unsupported","Mission; principles; product behaviors; proof","Team photo, timeline, product principles","Keep scanning rhythm with short sections","Photos have alt; no decorative wall of text"
Contact Options,"contact options support sales demo booking channels","Channel cards plus short routing guidance","Users may need sales, support, or partnership paths","One generic form handles all intents poorly","Intent types; response times; channel owners","Calendar, contact cards, map if local","Route by intent before showing detailed forms","Forms labelled; response expectations visible"
Qualification Form,"lead form contact form demo booking quote signup","Short form grouped by routing need and privacy note","High-intent users need contact or demo","Asking for unnecessary fields upfront","Required fields; routing fields; consent/privacy copy","None required","Inline validation and keyboard-specific inputs","Labels visible; errors near fields; privacy note linked"
