No,Category,Principle,Keywords,Why It Matters,Do,Don't,Code Good,Code Bad,Severity,Source
25,Performance,Use WAAPI for programmatic CSS animations,"web animations api, waapi, element.animate","Web Animations API gives JS control with CSS performance — hardware-accelerated, interruptible, no library","Use element.animate([{...}, {...}], { duration, easing, fill }) when you need JS to trigger CSS-grade motion","Reach for Framer Motion to play a single one-off clip-path animation","element.animate([{clipPath: 'inset(0 100% 0 0)'}, {clipPath: 'inset(0 0 0 0)'}], { duration: 1000 })","Framer Motion installed for a single clip-path tween",Medium,Emil Kowalski
26,Gesture,Velocity-based dismissal beats threshold-only,"velocity dismiss, swipe flick, momentum","Quick flicks should dismiss regardless of distance. Pure threshold dismissal feels sticky","Calculate velocity = dragDistance / elapsed; dismiss when velocity > 0.11 OR distance > threshold","Require dragging past a fixed pixel threshold to dismiss","if (distance > threshold || velocity > 0.11) dismiss()","if (distance > 100) dismiss() (no velocity check)",Medium,Emil Kowalski (Vaul)
27,Gesture,Apply damping at boundaries instead of hard stops,"drag boundary, damping, friction edge","Real-world things slow before stopping. Hard stops feel like the UI broke","Allow over-drag with rubber-band damping (each pixel of drag yields less movement past the boundary)","Lock the drag at the boundary with no give","reduce dragDelta by factor 0.4 once past max position","clamp(drag, min, max) with abrupt cutoff at boundaries",Low,Emil Kowalski
28,Gesture,Capture pointer and ignore secondary touches,"pointer capture, multi-touch protection, drag continuation","Without pointer capture the drag stops if the pointer leaves the element. Without multi-touch protection a finger swap mid-drag jumps the element","setPointerCapture on dragstart; ignore subsequent touches while isDragging is true","Listen on document for mouseup without pointer capture; allow new touches mid-drag","element.setPointerCapture(e.pointerId); if (isDragging) return on new press","plain document.addEventListener('mouseup') with no capture",Medium,Emil Kowalski (Vaul)
29,A11y,Respect prefers-reduced-motion (gentler not zero),"prefers-reduced-motion, reduced motion, motion sickness","Reduced motion means fewer and gentler animations — not zero. Keep opacity and color transitions that aid comprehension; remove translate/scale","Wrap motion-based transforms in @media (prefers-reduced-motion: no-preference); ship a reduced fallback that uses opacity only","Disable all transitions when prefers-reduced-motion is set, or ignore the query entirely","@media (prefers-reduced-motion: reduce) { .x { animation: fade 0.2s ease } /* no transform */ }","ignore prefers-reduced-motion or { animation: none } for everything",High,WCAG + Emil Kowalski
30,A11y,Gate hover animations behind hover/pointer media query,"touch hover, hover media query, false hover","Touch devices fire :hover on tap. Hover-driven scale animations cause visual jumps when users tap","Wrap hover styles in @media (hover: hover) and (pointer: fine) { ... }","Apply :hover transform: scale(1.05) without media gating","@media (hover: hover) and (pointer: fine) { .card:hover { transform: scale(1.05) } }",".card:hover { transform: scale(1.05) } (fires on touch)",Medium,Emil Kowalski
31,Polish,Stagger lists 30-80ms between items,"stagger, list animation, cascade","All-at-once entries feel busy. Long staggers feel slow. 30-80ms produces a satisfying cascade without delaying interaction","Use animation-delay nth-child or Motion's staggerChildren in 30-80ms steps; never block interaction during stagger","Stagger 200ms+ between every list item or animate everything at once",".item:nth-child(2) { animation-delay: 50ms }","every list item delayed 250ms or all at delay 0",Medium,Emil Kowalski
32,Polish,Cohesion: motion personality must match component personality,"animation personality, motion mood, brand cohesion","Sonner uses 'ease' and slightly slower timing because it fits its elegant brand. A dashboard would use crisp ease-out and fast timings","Audit motion against the rest of the design: brand voice, copy tone, component personality should all align","Apply the same 200ms ease-out to a playful animated mascot AND a banking dashboard","Sonner's slower 'ease' on a casual toast","250ms ease-out on the same toast in a strict bank app",Medium,Emil Kowalski (Sonner)
33,Polish,Review animations the next day,"animation review, fresh eyes, slow motion testing","Fresh eyes catch imperfections invisible during development. Slow motion playback exposes timing issues at 1x","Sleep on it. The next day, play animations at 0.25x in DevTools. Check colors don't show two states overlapping, easing doesn't stop abruptly","Ship the animation the same day you wrote it","DevTools Animations panel → 25% playback","approve at 1x speed end of day",Low,Emil Kowalski
34,Polish,Test gestures on real devices not simulators,"real device testing, gesture testing, mobile drawer","Touch interactions, drag gestures, and momentum behave differently on real hardware. Simulators miss latency and friction effects","Connect phone via USB, visit local dev server by IP, use Safari/Chrome remote devtools","Approve drawer drag behavior using only the iOS Simulator","real iPhone via Safari Web Inspector","Xcode Simulator only for drag-to-dismiss QA",Medium,Emil Kowalski
35,Sonner,Good defaults beat configuration options,"library defaults, sane defaults, dx","Most users never customize. Default easing, timing, and visual design must be excellent — that determines adoption","Ship beautiful out of the box; expose options as escape hatches not requirements","Force the user to pick a duration and easing on every toast call","toast('Saved') (uses elegant defaults)","toast('Saved', { duration: ?, easing: ?, position: ? }) required",Medium,Emil Kowalski (Sonner)
36,Sonner,Handle edge cases invisibly,"edge case polish, invisible details, tab visibility","Pause toast timers when the tab hides. Fill stack gaps with pseudo-elements to keep hover state. Capture pointer during drag. Users never notice — that's the point","Pause animation timers on visibilitychange; use ::before/::after to bridge gaps in stacked components","Let toast timers run while tab is hidden, expiring before user returns","document.addEventListener('visibilitychange', pauseTimers)","toast.dismiss after 4s real-time even if tab was hidden",Medium,Emil Kowalski (Sonner)
37,Debug,Use the DevTools Animations panel,"devtools animations, frame by frame, animation inspector","Frame-by-frame inspection reveals timing issues between coordinated properties (color + transform + opacity) that you cannot see at 1x","Open Chrome DevTools → Animations panel; reduce playback to 25%; step through frame-by-frame","Eyeball animations at full speed and call it done","DevTools → Animations → 25% playback","visual review at 1x only",Low,Emil Kowalski
